CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C11865,2021.641161,1,363.18,363.18,0,0,1,1,0,0,0,13,2000,704.24077,795.859808,0,12
C11866,102.228073,1,1074.29,249.21,825.08,0,1,0.166667,1,0,0,21,5000,1075.317643,188.241729,0.083333,12
C11867,1407.26415,0.909091,151.64,151.64,0,0,0.090909,0.090909,0,0,0,1,1500,337.890842,337.424016,0,11
C11868,2158.419812,1,154.53,115.8,38.73,879.540473,0.375,0.25,0.375,0.25,8,8,2500,664.112193,459.980824,0,8
C11869,1492.433396,1,99.75,34.32,65.43,0,0.083333,0.083333,0.083333,0,0,3,6000,2224.187609,382.929831,0.083333,12
C11874,102.832194,1,1067.85,669.21,398.64,0,1,0.583333,1,0,0,21,10000,1480.49182,147.450493,0.545455,12
C11881,94.280326,1,846.06,312.4,533.66,0,1,0.166667,0.916667,0,0,21,9000,922.71497,171.595701,0.75,12
C11883,396.667584,1,2559.41,2469.41,90,0,0.5,0.333333,0.166667,0,0,8,4000,827.889811,188.185292,0,12
C11886,109.417101,1,1219.85,878.7,341.15,172.656204,1,1,0.75,0.083333,2,23,5000,2250.036431,180.605564,0.5,12
C11887,4624.411724,1,2537.67,1774.91,762.76,0,0.916667,0.75,0.666667,0,0,39,7000,1045.881353,1194.290831,0,12
C11890,10.486808,0.363636,241.27,241.27,0,0,0.083333,0.083333,0,0,0,1,2500,557.897488,204.561603,0,12
C11897,1274.142457,1,5219.95,2568.35,2651.6,0,1,0.833333,1,0,0,66,7500,3984.42893,3453.797867,0,12
C11899,91.231825,0.636364,736.91,32.71,704.2,0,0.583333,0.083333,0.5,0,0,8,6000,960.373775,175.898057,1,12
C11901,1216.594927,1,878.64,757.8,120.84,155.804123,0.75,0.75,0.166667,0.166667,2,20,1200,654.24428,1296.173027,0,12
C11903,3817.693096,1,4974.27,3825.87,1148.4,0,1,0.25,1,0,0,33,5000,6752.531183,1468.156345,0,12
C11906,8099.879299,1,2352,1161.47,1190.53,389.680166,1,0.833333,1,0.25,4,50,12500,1863.944131,1830.532435,0,12
C11910,109.140973,1,319.62,319.62,0,0,0.666667,0.666667,0,0,0,13,3500,597.96043,168.622192,0,12
C11916,693.643988,1,358.91,152,206.91,0,1,0.25,1,0,0,39,5000,338.79121,170.609681,0,12
C11918,3478.070041,1,2465.92,1676.11,789.81,90.363202,1,0.75,1,0.083333,1,41,12000,955.30285,962.880942,0,12
C11920,33.07464,0.909091,286.4,231.29,55.11,91.341961,0.5,0.25,0.166667,0.083333,1,6,8500,435.600387,188.836554,0.3,12
C11925,7.03142,0.454545,502.33,424,78.33,0,0.416667,0.166667,0.166667,0,0,5,2500,844.120402,25.455716,0,12
C11929,5774.207136,1,2102.51,721.67,1380.84,3536.320402,0.916667,0.333333,0.916667,0.083333,7,37,15000,4711.567357,1308.759437,0,12
C11932,2572.878701,1,3975,3975,0,0,0.416667,0.416667,0,0,0,5,4000,2386.982592,667.024916,0,12
C11935,92.816307,1,345.66,45.65,300.01,0,0.75,0.083333,0.75,0,0,10,1000,383.914659,192.645506,0.25,12
C11937,911.298036,1,954.15,425.35,528.8,0,0.833333,0.25,0.666667,0,0,12,1200,283.608489,282.489805,0,12
C11942,1265.781431,1,1585.79,1257.32,328.47,0,1,0.416667,1,0,0,22,3000,338.977714,399.110239,0,12
C11943,3682.768495,1,1194.15,987.59,206.56,1074.785954,1,0.25,0.916667,0.416667,10,52,4050,2121.026757,1837.003889,0,12
C11947,3310.573808,1,717.14,649.14,68,0,0.5,0.333333,0.083333,0,0,7,12500,1372.959063,775.796181,0,12
C11950,365.005559,1,421.04,341,80.04,0,0.333333,0.083333,0.333333,0,0,6,4000,1386.413639,110.535797,0,12
C11951,26.599993,0.545455,329.38,23.65,305.73,0,0.333333,0.083333,0.25,0,0,7,10500,1034.7342,222.733821,1,12
C11956,1722.910058,1,45.45,45.45,0,1654.212185,0.083333,0.083333,0,0.416667,5,2,4000,511.525617,439.577818,0,12
C11960,117.063942,0.909091,1035.05,64.9,970.15,0,0.75,0.083333,0.666667,0,0,10,3000,1336.493092,154.164663,0.777778,12
C11961,559.151424,1,94,94,0,0,0.25,0.25,0,0,0,3,5500,254.733329,218.279194,0,12
C11964,2623.967336,1,3005.89,2438.85,567.04,0,0.916667,0.75,0.75,0,0,40,5500,1245.201203,679.379333,0,12
C11965,2297.324675,1,4474.43,3544.31,930.12,1508.526487,0.916667,0.75,0.416667,0.166667,3,44,5500,9481.484058,846.555233,0.083333,12
C11970,102.055178,0.727273,999.19,586.29,412.9,0,0.583333,0.25,0.416667,0,0,16,7500,2181.215224,148.095996,0.875,12
C11972,1046.787477,1,517.08,282.6,234.48,0,0.75,0.333333,0.583333,0,0,13,1200,477.482016,345.156866,0,12
C11973,869.091492,1,438.22,263.5,174.72,0,0.416667,0.25,0.166667,0,0,6,3000,336.521212,381.780101,0,12
C11975,1856.325339,0.818182,670.5,516.9,153.6,5603.126858,0.545455,0.272727,0.363636,0.727273,107,9,7000,9221.922948,537.180986,0.142857,11
C11976,127.240494,1,760.36,89,671.36,0,1,0.083333,1,0,0,17,2500,371.387459,176.24916,0.090909,12
C11980,1941.539209,1,1366.74,95.94,1270.8,0,1,0.083333,1,0,0,20,6300,495.133413,500.750411,0,12
C11987,6512.478876,1,98,98,0,3320.07679,0.125,0.125,0,0.875,52,1,7000,1304.362846,1642.26745,0,8
C11991,332.888212,1,419.56,74,345.56,0,1,0.25,0.916667,0,0,26,3000,473.166128,193.267629,0,12
C11992,2421.943818,1,612,76,536,2197.163192,0.916667,0.083333,0.833333,0.416667,10,14,2500,2483.286273,1036.05709,0,12
C11998,9459.138771,1,878.11,159.91,718.2,5247.419951,1,0.25,0.916667,0.5,8,16,15000,1987.085155,2931.217581,0,12
C12004,1302.78269,1,45.65,45.65,0,0,0.083333,0.083333,0,0,0,1,1500,351.864266,5104.500905,0,12
C12006,5598.864288,1,7194.53,6678.26,516.27,14200.89313,1,1,1,0.833333,37,69,15500,12487.36815,2074.900111,0.083333,12
C12007,6537.800686,1,1885.94,75,1810.94,2099.802521,0.916667,0.083333,0.916667,0.416667,6,29,8500,1625.320799,1608.307521,0,12
C12008,1308.302091,1,918.67,918.67,0,0,0.583333,0.583333,0,0,0,22,1800,258.034145,376.716571,0,12
C12009,1009.062757,1,702.4,265.6,436.8,0,1,0.25,1,0,0,28,7500,1184.723606,245.887258,0,12
C12011,151.006318,1,1455.97,412.69,1043.28,0,0.916667,0.333333,0.833333,0,0,39,1800,1380.904206,156.994712,0.363636,12
C12012,2062.665478,1,518.17,71.9,446.27,1257.241177,1,0.166667,1,0.333333,12,35,4000,1049.378278,1100.812257,0,12
C12015,2919.796228,1,217.9,118.9,99,0,1,0.083333,1,0,0,25,7500,832.687649,764.627545,0,12
C12017,5291.221238,1,2090.47,1965.41,125.06,1153.665768,0.5,0.5,0.416667,0.25,3,21,15000,1718.461993,1495.799354,0,12
C12018,107.13002,1,15.4,15.4,0,182.66132,0.083333,0.083333,0,0.333333,6,1,200,255.103798,198.933162,0,12
C12020,6727.539699,1,711.72,617.4,94.32,6498.711722,1,0.916667,1,0.416667,12,23,8500,1303.904127,1834.59712,0,12
C12022,5715.854635,1,2173.99,1556.19,617.8,0,0.666667,0.583333,0.5,0,0,33,8500,1828.965006,1313.883915,0,12
C12023,274.038592,1,286.19,58,228.19,0,0.416667,0.083333,0.416667,0,0,7,1700,911.371697,179.244755,0,12
C12024,3476.603507,1,9683.28,7253.28,2430,0,0.75,0.5,0.25,0,0,15,12500,6084.947427,722.986478,0,12
C12025,1075.825135,1,32,32,0,1859.42106,0.083333,0.083333,0,0.666667,23,1,9000,2266.903508,385.237167,0,12
C12032,447.648987,0.363636,17.8,17.8,0,2429.819782,0.083333,0.083333,0,0.25,3,1,2500,9858.055448,737.68264,0.5,12
C12036,2023.72438,1,1103.86,253.99,849.87,0,1,0.25,1,0,0,34,6500,667.73252,537.415298,0,12
C12038,107.801738,1,922.64,876.3,46.34,0,1,1,0.083333,0,0,16,9500,912.762084,168.173968,0.181818,12
C12040,49.869884,1,363.52,124.51,239.01,0,0.833333,0.166667,0.666667,0,0,11,9100,383.100848,175.869439,0.181818,12
C12042,360.774263,1,2437.8,1788.3,649.5,0,1,1,0.5,0,0,30,7500,2204.789548,186.937922,0.083333,12
C12043,2675.418129,1,55,55,0,315.402389,0.083333,0.083333,0,0.25,3,1,3000,579.527874,1323.695647,0,12
C12045,216.685655,0.545455,921.18,469.78,451.4,0,0.25,0.166667,0.166667,0,0,9,4500,892.146005,69.378949,0,12
C12046,7119.163663,1,1370.21,937.65,432.56,8527.393281,1,1,0.416667,0.5,10,18,12000,19143.03225,2618.798545,0,12
C12052,1046.273731,1,420.89,45.65,375.24,0,1,0.083333,1,0,0,13,1000,616.193938,8289.636536,0,12
C12053,1590.712709,1,674.57,674.57,0,0,0.75,0.75,0,0,0,11,1600,830.768021,1017.533824,0,12
C12054,1513.075264,1,15704.04,12618.86,3085.18,0,1,0.916667,0.916667,0,0,185,3000,14399.70318,310.712671,0.916667,12
C12055,1683.116573,1,98,98,0,240.304769,0.083333,0.083333,0,0.166667,4,1,1800,554.101761,556.407341,0,12
C12056,2097.603234,1,963.21,963.21,0,0,1,1,0,0,0,11,2100,622.542212,1252.200387,0,6
C12057,1060.422892,0.818182,161.5,161.5,0,765.748489,0.166667,0.166667,0,0.166667,5,3,3700,2333.389981,475.983876,0.111111,12
C12058,3.03124,0.272727,37.65,37.65,0,0,0.083333,0.083333,0,0,0,1,7500,88.090034,56.690917,0,12
C12059,163.950974,0.777778,1014.21,264.42,749.79,268.071098,0.777778,0.444444,0.666667,0.111111,1,20,1500,938.36331,127.327376,0.6,9
C12060,2926.920514,1,1823.5,1686,137.5,236.898897,1,0.75,0.75,0.166667,2,23,7100,792.597997,1003.87006,0,12
C12062,74.825456,1,293.5,49,244.5,0,0.666667,0.083333,0.583333,0,0,11,1500,215.258602,138.420441,0.272727,12
C12068,828.596569,1,1115,1115,0,0,0.083333,0.083333,0,0,0,1,1800,268.295902,289.110551,0,12
C12069,4232.350593,1,32.35,32.35,0,0,0.083333,0.083333,0,0,0,1,14000,1262.608728,1163.798856,0,12
C12072,497.726827,1,1234.5,653,581.5,0,0.583333,0.333333,0.416667,0,0,14,3000,206.102367,382.086744,0,12
C12073,868.734126,1,463.01,373.65,89.36,546.682275,0.416667,0.25,0.25,0.166667,4,11,1000,254.635576,375.38376,0,12
C12075,498.761608,1,1159.15,119,1040.15,0,1,0.083333,1,0,0,28,4750,5978.807577,583.437092,0.083333,12
C12078,5919.198579,1,9321.13,4678.79,4642.34,0,1,1,1,0,0,171,15000,7303.897866,1395.715133,0,12
C12080,133.926073,0.272727,246.75,246.75,0,0,0.416667,0.416667,0,0,0,5,11000,7103.026842,151.26551,0,12
C12081,2567.090886,1,1875.54,546.14,1329.4,598.035427,1,0.333333,1,0.333333,5,52,3900,772.320791,632.994269,0,12
C12085,1193.434312,1,689.4,689.4,0,0,1,1,0,0,0,12,3500,328.171066,328.045032,0,12
C12086,1204.102388,1,1658.81,45.65,1613.16,804.558218,1,0.083333,1,0.083333,4,49,1000,3051.991292,3497.894585,0.083333,12
C12087,595.655746,1,6562.24,4892.43,1669.81,0,1,1,1,0,0,114,8000,6240.58958,219.062841,1,12
C12090,53.697916,1,114.49,114.49,0,0,0.083333,0.083333,0,0,0,1,7500,0,,0,12
C12092,311.341555,0.909091,3721.39,3721.39,0,0,0.5,0.5,0,0,0,26,4000,4004.905569,156.580586,0.714286,12
C12096,101.176482,1,807.66,325,482.66,0,0.916667,0.166667,0.666667,0,0,11,16000,699.466354,167.403184,0.583333,12
C12097,5408.754166,1,1207.24,979.36,227.88,3064.470065,0.166667,0.166667,0.083333,0.916667,20,18,7000,3130.304246,2767.052658,0,12
C12100,1672.813954,1,299.83,117.39,182.44,113.720261,1,0.166667,0.916667,0.166667,2,21,1800,559.708549,523.962466,0,12
C12102,2316.11093,0.625,86.1,86.1,0,4106.834043,0.125,0.125,0,0.25,13,1,4500,447.991795,1309.847772,0,8
C12103,2377.742667,1,2527.04,796.66,1730.38,2056.332882,1,0.333333,1,0.333333,6,92,5000,1461.368469,1105.554363,0,12
C12107,1035.853615,1,69,69,0,1147.361897,0.083333,0.083333,0,0.333333,16,1,1200,1483.636625,469.230578,0,12
C12108,1709.693956,1,2,2,0,5246.296449,0.083333,0.083333,0,0.25,6,1,2500,4678.254753,464.860442,0.083333,12
C12109,2744.473705,1,529,529,0,3082.913762,0.166667,0.166667,0,0.416667,7,5,6000,914.280246,932.394545,0,12
C12111,193.207812,1,1937.7,1937.7,0,0,1,1,0,0,0,30,2000,2100.802868,169.00964,0.916667,12
C12115,7842.784061,1,5930.99,3862.79,2068.2,0,1,0.916667,1,0,0,168,11500,12493.77894,1780.353532,0,12
C12117,3474.972612,1,324.18,293,31.18,0,0.333333,0.166667,0.25,0,0,6,9500,950.735955,867.128283,0,12
C12119,3433.295973,1,4342.07,4247.87,94.2,0,0.833333,0.666667,0.166667,0,0,20,11000,3903.861413,806.9871,0,12
C12121,1262.645703,1,329.9,257,72.9,0,0.333333,0.166667,0.166667,0,0,6,1800,905.863527,271.464874,0,12
C12124,1051.484848,1,3805.44,2715.52,1089.92,0,1,0.416667,1,0,0,24,1500,3818.15076,941.610478,0,12
C12129,2828.765822,1,19.98,19.98,0,0,0.083333,0.083333,0,0,0,2,5500,593.220384,1159.310924,0,12
C12132,1414.878106,1,98.08,68.42,29.66,0,0.166667,0.166667,0.083333,0,0,3,1500,523.235492,535.880979,0,12
C12135,291.510745,1,698.91,75,623.91,79.010038,1,0.083333,1,0.083333,1,38,5000,684.699102,178.065401,0,12
C12137,876.366489,1,4537.12,4285.11,252.01,0,1,0.75,0.833333,0,0,56,2500,2689.043472,350.182281,0.333333,12
C12140,788.9737,1,4574.79,4149.47,425.32,2604.900847,1,0.583333,0.833333,0.166667,4,46,9500,5097.91073,366.740483,0.083333,12
C12143,2986.422406,1,5132.08,4664.84,467.24,0,1,1,0.583333,0,0,66,10000,11454.46623,910.850489,0,12
C12144,1389.583627,1,712.87,712.87,0,0,0.083333,0.083333,0,0,0,1,4500,801.18565,364.139587,0,12
C12145,8636.950854,1,972.09,43,929.09,2590.575082,1,0.083333,1,0.416667,8,26,10500,2025.270282,2959.401317,0,12
C12146,7698.663007,1,673.15,574.28,98.87,6076.961711,0.833333,0.25,0.75,0.5,8,14,12000,1907.16983,2144.047631,0,12
C12152,3386.490883,1,560.98,427.22,133.76,2008.153534,1,0.727273,0.363636,0.545455,9,20,10100,1039.000037,886.050237,0,11
C12154,10599.4423,1,4029.24,2926.43,1102.81,0,1,1,1,0,0,102,12500,2343.311066,2351.640064,0,12
C12156,7506.908599,1,465.36,465.36,0,1609.506076,0.25,0.25,0,0.083333,3,4,12000,1772.157134,2302.03915,0,12
C12164,1134.648238,1,143.12,143.12,0,0,0.1,0.1,0,0,0,1,1200,289.967312,286.845297,0,10
C12168,41.936627,0.545455,717.92,122.86,595.06,0,0.5,0.166667,0.416667,0,0,10,13000,628.811269,92.899006,0.4,12
C12169,1346.309166,1,652.13,567.76,84.37,0,0.5,0.416667,0.083333,0,0,10,6000,385.145146,275.434078,0,12
C12170,329.388289,1,72.84,72.84,0,0,0.083333,0.083333,0,0,0,1,3000,467.674193,216.289689,0,12
C12173,84.067421,1,852.26,265.92,586.34,0,1,1,0.25,0,0,20,18500,643.541055,181.197901,0.916667,12
C12176,430.282584,1,888.85,278.63,610.22,0,1,0.166667,1,0,0,27,3500,1134.356357,185.277576,0.5,12
C12179,699.586726,1,796.11,796.11,0,0,0.083333,0.083333,0,0,0,1,6000,807.665219,1559.810579,0,12
C12180,4478.312669,1,2461.9,2461.9,0,202.816167,0.166667,0.166667,0,0.166667,2,13,5000,1041.825559,1143.939064,0,12
C12189,1167.863521,1,94.7,94.7,0,187.817003,0.166667,0.166667,0,0.416667,5,2,1200,350.850434,284.605261,0,12
C12191,208.362536,1,2252.77,238,2014.77,0,1,0.333333,1,0,0,30,10000,2018.393951,178.930636,0.833333,12
C12192,33.528505,0.818182,477.5,193.5,284,0,0.583333,0.166667,0.333333,0,0,17,3000,591.867645,157.374987,0.625,12
C12197,2235.729892,1,83,38,45,481.39493,0.333333,0.083333,0.166667,0.166667,5,4,2500,568.336744,606.89303,0,12
C12203,146.756706,1,1664.95,64.17,1600.78,0,1,0.166667,1,0,0,55,4000,1458.490552,188.635203,0.75,12
C12204,422.723099,0.727273,344.86,344.86,0,0,0.25,0.25,0,0,0,4,8500,1499.598264,185.217625,0,12
C12205,1571.382204,1,1849.26,1616.76,232.5,0,1,1,0.5,0,0,19,7000,1522.895942,414.775083,0,12
C12207,3932.482783,1,1674.11,649,1025.11,0,1,0.333333,1,0,0,43,11500,1166.117797,954.24196,0,12
C12208,349.086448,0.818182,2569.94,2569.94,0,186.415123,0.363636,0.363636,0,0.090909,1,8,5000,3362.877104,164.400313,0.714286,11
C12209,12.281874,0.1,153.11,153.11,0,0,0.2,0.2,0,0,0,2,9000,0,,0,10
C12210,6460.838794,1,6814.47,6814.47,0,0,1,1,0,0,0,15,13000,1917.817732,1643.130029,0,12
C12214,713.959917,1,542.96,452.96,90,268.410928,0.833333,0.416667,0.416667,0.166667,4,13,2500,195.490243,229.465974,0,12
C12219,4223.867789,1,2514.74,1597.67,917.07,3444.750251,1,1,0.833333,0.333333,11,53,5500,964.935365,1676.595311,0,6
C12224,1502.926021,1,2635.9,2116.92,518.98,0,1,0.75,0.75,0,0,54,4500,951.372467,293.129375,0,12
C12226,10905.05381,1,431.93,133.5,298.43,47137.21176,0.583333,0.25,0.5,1,123,21,19600,39048.59762,5394.173671,0,12
C12228,1297.153644,1,839.14,419.88,419.26,0,0.833333,0.333333,0.666667,0,0,16,6000,362.337779,295.29696,0,12
C12231,1094.300448,1,1967.86,558.69,1409.17,0,1,0.5,1,0,0,140,11500,1413.122627,387.054045,0,12
C12236,379.767959,1,493.5,493.5,0,0,0.25,0.25,0,0,0,3,4000,3308.04995,3396.356156,0.272727,12
C12242,97.000375,1,552.09,95,457.09,0,1,0.083333,0.833333,0,0,13,12000,601.430928,188.896158,0.083333,12
C12244,238.962984,1,2402.64,537.21,1865.43,0,1,1,1,0,0,48,8500,2022.102581,182.612129,1,12
C12247,4550.397004,1,548,548,0,660.523355,0.25,0.25,0,0.25,5,7,5000,1158.922139,1330.173932,0,12
C12250,4623.886448,1,883.94,741.44,142.5,0,1,1,0.25,0,0,15,6000,2790.54214,1419.287973,0,12
C12253,3086.75297,1,1015.91,293.41,722.5,0,0.916667,0.333333,0.833333,0,0,23,10500,938.131271,807.263772,0,12
C12254,46.461265,0.545455,237.99,237.99,0,0,0.166667,0.166667,0,0,0,2,4500,543.788113,195.089406,0,12
C12255,390.55064,1,1261.99,1141.99,120,0,0.5,0.416667,0.416667,0,0,16,3000,18.496532,1151.777196,0,12
C12256,250.060059,1,2405.97,2182.22,223.75,0,1,0.916667,0.416667,0,0,36,10000,2105.342196,188.130216,0.916667,12
C12263,3677.471434,1,1,1,0,859.297788,0.083333,0.083333,0,0.083333,2,1,7000,944.992262,947.691932,0,12
C12267,532.805392,1,59.4,59.4,0,2734.176725,0.083333,0.083333,0,0.5,11,1,10000,1502.934235,213.16029,0.25,12
C12268,36.023577,0.181818,273.8,273.8,0,0,0.083333,0.083333,0,0,0,1,5500,174.52575,259.524372,1,12
C12270,52.575297,0.727273,282.62,33.62,249,0,0.416667,0.083333,0.25,0,0,5,6000,388.872739,149.884294,0.2,12
C12272,1781.739723,1,2289.92,1584.4,705.52,0,0.75,0.583333,0.416667,0,0,37,10500,2065.553347,446.67084,0,12
C12273,2882.954391,1,3591.81,2452.56,1139.25,554.07167,1,0.818182,0.818182,0.090909,2,74,10450,8438.775135,768.82697,0,11
C12274,4068.162699,1,3387.47,1938.13,1449.34,0,1,1,1,0,0,86,8500,1312.481879,1245.153414,0,12
C12275,5432.113514,1,793.1,793.1,0,6245.023709,0.583333,0.583333,0,0.5,15,13,10000,1261.909483,1290.536388,0,12
C12277,202.996947,1,2338.83,2338.83,0,1959.553078,0.916667,0.916667,0,0.166667,2,42,7500,6545.07776,223.469126,0.666667,12
C12283,4158.137668,1,8.4,8.4,0,0,1,1,0,0,0,12,7500,1001.17541,1917.458466,0,12
C12286,288.978275,0.909091,2555.91,694.89,1861.02,0,1,0.363636,0.727273,0,0,20,5000,12020.18009,159.547502,1,11
C12288,1504.334228,0.909091,565,565,0,0,0.25,0.25,0,0,0,3,2200,2511.315474,471.295665,0,12
C12289,1928.971964,1,2061.55,369.55,1692,0,1,1,1,0,0,30,8500,2200.93868,450.459621,0,12
C12296,619.974954,1,1219.39,464.39,755,4473.3497,0.666667,0.166667,0.416667,0.25,8,8,2000,4115.217914,382.658882,0.25,12
C12298,40.343354,0.5,318.79,318.79,0,0,0.2,0.2,0,0,0,2,6000,603.896667,56.679587,0,10
C12300,69.141919,1,872.94,137.3,735.64,0,0.916667,0.333333,0.916667,0,0,24,10000,721.050386,167.657169,0.6,12
C12302,4677.021295,1,1798.66,1364.22,434.44,1569.577102,0.916667,0.583333,0.916667,0.416667,6,36,9000,1156.783897,1615.317615,0,12
C12306,1475.871356,1,826.77,664.21,162.56,0,1,1,0.333333,0,0,18,1500,1182.627097,1332.067827,0,12
C12308,105.642966,0.818182,916.46,527.78,388.68,0,0.583333,0.416667,0.333333,0,0,12,10500,2243.559789,164.15189,0.444444,12
C12311,107.452196,1,1196.35,945.79,250.56,0,1,1,0.5,0,0,37,5500,1597.772035,174.857103,0.5,12
C12312,4181.216991,1,1443.33,1443.33,0,0,0.083333,0.083333,0,0,0,1,6000,1027.149996,1420.666789,0,12
C12314,2382.328208,1,899.58,413.28,486.3,450.252732,1,0.25,1,0.166667,4,34,2500,850.186851,1212.047288,0,12
C12317,1599.306976,1,112.57,112.57,0,70.564078,0.25,0.25,0,0.083333,1,3,1800,595.55337,379.959706,0,12
C12319,5815.890916,1,1245.33,1245.33,0,2697.454999,0.5,0.5,0,0.583333,10,18,7000,1287.745322,1531.220292,0,12
C12324,632.807858,1,453.91,318.91,135,927.939586,0.583333,0.333333,0.25,0.5,8,8,6000,350.387978,228.165965,0,12
C12329,6877.284986,1,687.97,542.97,145,3406.90934,0.416667,0.083333,0.25,0.666667,12,11,7500,2358.946309,1898.480847,0,12
C12330,598.423093,1,5835.57,3974.7,1860.87,0,1,0.833333,0.75,0,0,53,9000,6083.426724,204.763572,0.916667,12
C12335,937.276757,1,45.65,45.65,0,19.995297,0.083333,0.083333,0,0.083333,1,1,1000,335.809644,442.354727,0,12
C12336,776.255666,1,6842.23,4938.13,1904.1,0,1,1,1,0,0,112,3500,5588.683151,280.509038,0.5,12
C12337,815.832195,0.5,211.22,83,128.22,3214.78962,0.6,0.1,0.5,0.2,23,6,3500,1664.863771,168.230369,0,10
C12338,4939.64603,1,470.54,139.38,331.16,8753.243163,0.75,0.333333,0.583333,0.916667,39,14,10000,11721.86573,1183.292044,0.083333,12
C12340,1877.424948,1,170.07,118.2,51.87,0,0.166667,0.166667,0.166667,0,0,2,6000,248.81801,264.497515,0,6
C12342,2139.919711,1,330.89,71.4,259.49,2649.967098,0.5,0.083333,0.416667,0.416667,18,7,6000,703.005516,720.646441,0,12
C12343,137.909416,1,897.42,684.12,213.3,0,0.916667,0.916667,0.583333,0,0,27,7000,965.182597,191.931603,0.083333,12
C12346,26.621291,0.363636,426.83,426.83,0,0,0.416667,0.416667,0,0,0,5,6000,195.490843,88.384521,0,12
C12348,740.382347,1,1672.35,1571.35,101,310.806852,0.666667,0.5,0.416667,0.25,3,15,5500,1437.155317,287.831911,0,12
C12350,9.75539,0.909091,219.37,219.37,0,0,1,1,0,0,0,12,6000,216.850592,76.604414,0.25,12
C12352,62.053779,0.636364,29.6,29.6,0,838.60032,0.083333,0.083333,0,0.083333,2,1,6000,1576.039085,108.744838,0.166667,12
C12353,1417.474456,1,144.49,144.49,0,0,0.416667,0.416667,0,0,0,6,1500,348.50421,417.305741,0,12
C12354,1613.321542,1,252,252,0,0,0.166667,0.166667,0,0,0,3,1800,833.515706,592.475313,0,12
C12355,392.194003,1,788.14,788.14,0,0,0.166667,0.166667,0,0,0,2,9000,1041.707049,192.452296,0,12
C12357,527.761784,1,2702.57,1942.77,759.8,0,1,0.5,0.75,0,0,32,3000,1942.140315,188.998017,0.083333,12
C12360,15.236618,0.272727,161.5,161.5,0,0,0.166667,0.166667,0,0,0,1,3000,912.737392,114.337421,0,12
C12362,248.200613,1,2329.12,1567.22,761.9,0,1,0.916667,0.583333,0,0,31,5500,812.097275,231.774034,0.166667,12
C12365,475.171266,0.727273,1155.4,1155.4,0,0,0.083333,0.083333,0,0,0,1,2000,1264.974166,116.244107,0,12
C12366,1117.683394,0.909091,45.65,45.65,0,0,0.090909,0.090909,0,0,0,1,1200,287.581425,371.232319,0,11
C12368,14.68344,0.363636,67.44,67.44,0,0,0.083333,0.083333,0,0,0,1,4000,82.000743,57.564463,0,12
C12369,1475.973063,1,181.63,181.63,0,2252.747969,0.916667,0.916667,0,0.5,17,13,1800,2588.459613,960.647101,0.083333,12
C12372,447.808002,1,1593.29,214.2,1379.09,0,1,0.25,0.916667,0,0,36,7000,1660.750541,188.340279,0,12
C12382,4920.036231,1,1562.43,249.24,1313.19,0,1,0.25,1,0,0,42,13000,1851.996908,1178.476722,0,12
C12383,4071.792166,1,1721.66,551.17,1170.49,0,1,0.5,1,0,0,27,10000,1065.894938,1173.307383,0,12
C12387,299.464702,1,1439.49,593,846.49,0,1,0.166667,1,0,0,31,6000,1323.74446,200.986504,0,12
C12389,657.223335,0.857143,1151.91,615.85,536.06,442.688396,0.714286,0.285714,0.571429,0.285714,2,13,1000,632.225833,350.841821,0.2,7
C12395,3037.608728,1,173.48,173.48,0,382.582455,0.166667,0.166667,0,0.166667,6,3,3000,869.253948,4682.965732,0,12
C12397,1100.941072,1,117.32,117.32,0,5573.767921,0.25,0.25,0,0.5,7,3,1500,4017.742718,273.139411,0.111111,12
C12399,1.059425,0.363636,23.91,23.91,0,0,0.333333,0.333333,0,0,0,4,15500,31.845894,22.081988,0.111111,12
C12400,1095.041551,1,1132.36,377.44,754.92,0,1,0.333333,1,0,0,43,2500,410.973222,405.230106,0,12
C12401,234.700486,1,82,82,0,0,0.083333,0.083333,0,0,0,2,4200,350.773984,215.834479,0,12
C12403,1435.703308,1,664.61,45.7,618.91,945.736707,0.666667,0.083333,0.5,0.166667,3,15,7500,453.692206,358.574883,0,12
C12405,4395.237251,1,2514.3,985.11,1529.19,0,1,0.666667,1,0,0,32,5000,2095.014385,1960.982734,0,12
C12408,3044.269636,1,93.31,93.31,0,789.697144,0.083333,0.083333,0,0.166667,2,1,3500,670.719989,949.520589,0,12
C12411,3860.238072,1,11.41,11.41,0,0,0.166667,0.166667,0,0,0,2,10000,7280.584479,1013.780486,0.083333,12
C12412,1514.750841,1,3873.5,2642.14,1231.36,2306.919698,1,1,1,0.416667,6,50,8500,3729.948989,436.253648,0,12
C12413,6509.334652,1,538.51,538.51,0,7232.069823,0.333333,0.333333,0,0.666667,20,4,12000,1355.948713,1471.164439,0,12
C12414,3338.863375,1,775,365,410,0,0.583333,0.166667,0.416667,0,0,8,8500,920.748289,784.929199,0,12
